time,,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track,vspeed
2022-03-21 05:17:37Z.073,1647839857.073,0x780db8,CES5735,25.06151,102.86982,P,9175,2101,235,230,1344
2022-03-21 05:17:37Z.333,1647839857.333,0x780db8,CES5735,25.06064,102.86865,P,9200,2101,237,230,1216
2022-03-21 05:17:39Z.494,1647839859.494,0x780db8,CES5735,25.05968,102.86732,P,9225,2101,238,230,1280
2022-03-21 05:17:41Z.852,1647839861.852,0x780db8,CES5735,25.0578,102.86484,P,9275,2101,242,230,1216
2022-03-21 05:17:42Z.935,1647839862.935,0x780db8,CES5735,25.05679,102.86349,P,9300,2101,245,231,1152
2022-03-21 05:17:44Z.802,1647839864.802,0x780db8,CES5735,25.05606,102.8625,P,9300,2101,242,230,1216
2022-03-21 05:17:47Z.207,1647839867.207,0x780db8,CES5735,25.05386,102.8595,P,9350,2101,251,231,960
2022-03-21 05:17:48Z.845,1647839868.845,0x780db8,CES5735,25.05297,102.85831,P,9400,2101,254,230,1088
2022-03-21 05:17:49Z.511,1647839869.511,0x780db8,CES5735,25.05237,102.85748,P,9400,2101,254,230,1088
2022-03-21 05:17:53Z.209,1647839873.209,0x780db8,CES5735,25.04974,102.85406,P,9525,2101,256,230,2112
2022-03-21 05:17:55Z.311,1647839875.311,0x780db8,CES5735,25.04851,102.85248,P,9650,2101,256,229,3200
2022-03-21 05:17:58Z.047,1647839878.047,0x780db8,CES5735,25.04557,102.84877,P,9825,2101,254,228,3840
2022-03-21 05:17:59Z.443,1647839879.443,0x780db8,CES5735,25.04448,102.84739,P,9925,2101,254,228,3840
2022-03-21 05:18:00Z.646,1647839880.646,0x780db8,CES5735,25.0442,102.84704,P,9950,2101,254,228,3840
2022-03-21 05:18:03Z.351,1647839883.351,0x780db8,CES5735,25.04161,102.84369,P,10150,2101,252,229,3904
2022-03-21 05:18:05Z.144,1647839885.144,0x780db8,CES5735,25.03984,102.84131,P,10275,2101,251,230,3904
2022-03-21 05:18:05Z.486,1647839885.486,0x780db8,CES5735,25.04161,102.84369,P,10275,2101,251,229,3904
2022-03-21 05:18:08Z.627,1647839888.627,0x780db8,CES5735,25.0378,102.83856,P,10475,2101,249,231,4032
2022-03-21 05:18:10Z.365,1647839890.365,0x780db8,CES5735,25.03624,102.83636,P,10625,2101,247,231,4032
2022-03-21 05:18:11Z.904,1647839891.904,0x780db8,CES5735,25.03551,102.8354,P,10675,2101,247,231,4032
2022-03-21 05:18:12Z.987,1647839892.987,0x780db8,CES5735,25.0345,102.83401,P,10750,2101,247,231,4032
2022-03-21 05:18:13Z.983,1647839893.983,0x780db8,CES5735,25.03379,102.83307,P,10800,2101,246,231,3968
2022-03-21 05:18:15Z.969,1647839895.969,0x780db8,CES5735,25.03207,102.83068,P,10925,2101,246,231,3456
2022-03-21 05:18:20Z.014,1647839900.014,0x780db8,CES5735,25.02979,102.82758,P,11100,2101,245,231,3200
2022-03-21 05:18:21Z.842,1647839901.842,0x780db8,CES5735,25.02795,102.82507,P,11250,2101,245,231,3584
2022-03-21 05:18:22Z.497,1647839902.497,0x780db8,CES5735,25.02795,102.82507,P,11250,2101,245,231,3264
2022-03-21 05:18:25Z.335,1647839905.335,0x780db8,CES5735,25.02621,102.82272,P,11400,2101,244,230,3840
2022-03-21 05:18:26Z.935,1647839906.935,0x780db8,CES5735,25.02434,102.82027,P,11525,2101,243,229,3712
2022-03-21 05:18:27Z.344,1647839907.344,0x780db8,CES5735,25.02434,102.82027,P,11525,2101,244,230,3776
2022-03-21 05:18:30Z.655,1647839910.655,0x780db8,CES5735,25.02173,102.81713,P,11675,2101,244,227,3328
2022-03-21 05:18:32Z.321,1647839912.321,0x780db8,CES5735,25.02003,102.81535,P,11750,2101,246,224,2816
2022-03-21 05:18:32Z.698,1647839912.698,0x780db8,CES5735,25.02052,102.81586,P,11725,2101,246,224,2816
2022-03-21 05:18:36Z.021,1647839916.021,0x780db8,CES5735,25.01788,102.81342,P,11875,2101,249,219,2560
2022-03-21 05:18:37Z.093,1647839917.093,0x780db8,CES5735,25.01555,102.81168,P,11925,2101,251,214,3136
2022-03-21 05:18:37Z.996,1647839917.996,0x780db8,CES5735,25.01494,102.8113,P,11950,2101,251,214,3136
2022-03-21 05:18:41Z.215,1647839921.215,0x780db8,CES5735,25.01112,102.80918,P,12125,2101,254,205,3776
2022-03-21 05:18:42Z.928,1647839922.928,0x780db8,CES5735,25.00951,102.80853,P,12175,2101,255,203,3776
2022-03-21 05:18:43Z.044,1647839923.044,0x780db8,CES5735,25.00905,102.80838,P,12200,2101,256,201,3776
2022-03-21 05:18:46Z.564,1647839926.564,0x780db8,CES5735,25.00512,102.80711,P,12350,2101,260,194,3584
2022-03-21 05:18:47Z.736,1647839927.736,0x780db8,CES5735,25.00392,102.8068,P,12400,2101,259,196,3712
2022-03-21 05:18:48Z.363,1647839928.363,0x780db8,CES5735,25.0027,102.80653,P,12425,2101,261,192,3456
2022-03-21 05:18:52Z.282,1647839932.282,0x780db8,CES5735,24.99857,102.80594,P,12550,2101,266,186,3136
2022-03-21 05:18:53Z.834,1647839933.834,0x780db8,CES5735,24.99605,102.80584,P,12650,2101,269,182,3264
2022-03-21 05:18:54Z.217,1647839934.217,0x780db8,CES5735,24.99605,102.80584,P,12650,2101,269,182,3264
2022-03-21 05:18:57Z.987,1647839937.987,0x780db8,CES5735,24.9912,102.80612,P,12775,2101,275,178,2496
2022-03-21 05:18:58Z.887,1647839938.887,0x780db8,CES5735,24.98991,102.8063,P,12850,2101,277,174,2560
2022-03-21 05:18:59Z.604,1647839939.604,0x780db8,CES5735,24.98915,102.80638,P,12850,2101,277,174,2560
2022-03-21 05:19:03Z.362,1647839943.362,0x780db8,CES5735,24.98483,102.80741,P,13050,2101,280,167,3968
2022-03-21 05:19:04Z.197,1647839944.197,0x780db8,CES5735,24.98361,102.80778,P,13125,2101,280,165,4224
2022-03-21 05:19:04Z.432,1647839944.432,0x780db8,CES5735,24.98361,102.80778,P,13100,2101,280,167,3968
2022-03-21 05:19:08Z.625,1647839948.625,0x780db8,CES5735,24.97812,102.80985,P,13325,2101,285,159,3968
2022-03-21 05:19:09Z.721,1647839949.721,0x780db8,CES5735,24.97641,102.81062,P,13350,2101,289,156,3136
2022-03-21 05:19:10Z.843,1647839950.843,0x780db8,CES5735,24.97518,102.81125,P,13375,2101,287,157,3520
2022-03-21 05:19:14Z.003,1647839954.003,0x780db8,CES5735,24.97105,102.81367,P,13450,2101,298,150,2112
2022-03-21 05:19:15Z.142,1647839955.142,0x780db8,CES5735,24.96964,102.81464,P,13475,2101,300,148,2112
2022-03-21 05:19:16Z.146,1647839956.146,0x780db8,CES5735,24.97055,102.81397,P,13500,2101,298,150,2112
2022-03-21 05:19:19Z.320,1647839959.320,0x780db8,CES5735,24.96556,102.81799,P,13625,2101,307,142,3008
2022-03-21 05:19:20Z.104,1647839960.104,0x780db8,CES5735,24.96423,102.81916,P,13675,2101,307,140,3136
2022-03-21 05:19:21Z.997,1647839961.997,0x780db8,CES5735,24.96249,102.82084,P,13725,2101,308,139,3136
2022-03-21 05:19:25Z.147,1647839965.147,0x780db8,CES5735,24.95898,102.82457,P,13850,2101,312,136,2752
2022-03-21 05:19:25Z.400,1647839965.400,0x780db8,CES5735,24.95837,102.82526,P,13850,2101,316,135,2624
2022-03-21 05:19:26Z.795,1647839966.795,0x780db8,CES5735,24.95773,102.82597,P,13875,2101,318,134,2432
2022-03-21 05:19:28Z.473,1647839968.473,0x780db8,CES5735,24.95577,102.82841,P,13900,2101,319,133,2176
2022-03-21 05:19:30Z.315,1647839970.315,0x780db8,CES5735,24.95403,102.83066,P,13950,2101,322,131,1792
2022-03-21 05:19:31Z.417,1647839971.417,0x780db8,CES5735,24.95265,102.83244,P,13950,2101,327,129,1600
2022-03-21 05:19:36Z.453,1647839976.453,0x780db8,CES5735,24.94804,102.8396,P,14100,2101,336,125,2304
2022-03-21 05:19:36Z.552,1647839976.552,0x780db8,CES5735,24.94804,102.8396,P,14100,2101,334,126,2112
2022-03-21 05:19:38Z.368,1647839978.368,0x780db8,CES5735,24.94684,102.84159,P,14150,2101,319,133,2176
2022-03-21 05:19:41Z.969,1647839981.969,0x780db8,CES5735,24.94368,102.8476,P,14300,2101,342,120,2496
2022-03-21 05:19:42Z.367,1647839982.367,0x780db8,CES5735,24.94368,102.8476,P,14300,2101,341,120,2496
2022-03-21 05:19:44Z.278,1647839984.278,0x780db8,CES5735,24.94264,102.84975,P,14350,2101,343,119,2496
2022-03-21 05:19:46Z.990,1647839986.990,0x780db8,CES5735,24.93997,102.85574,P,14500,2101,347,115,2624
2022-03-21 05:19:47Z.185,1647839987.185,0x780db8,CES5735,24.93997,102.85574,P,14500,2101,344,118,2496
2022-03-21 05:19:49Z.087,1647839989.087,0x780db8,CES5735,24.93892,102.85833,P,14575,2101,348,114,2688
2022-03-21 05:19:52Z.109,1647839992.109,0x780db8,CES5735,24.93664,102.86385,P,14725,2101,349,114,2816
2022-03-21 05:19:52Z.506,1647839992.506,0x780db8,CES5735,24.93692,102.86317,P,14700,2101,350,114,2816
2022-03-21 05:19:54Z.472,1647839994.472,0x780db8,CES5735,24.93599,102.86545,P,14800,2101,350,114,2880
2022-03-21 05:19:57Z.566,1647839997.566,0x780db8,CES5735,24.9331,102.8723,P,14975,2101,350,114,2944
2022-03-21 05:19:57Z.899,1647839997.899,0x780db8,CES5735,24.93338,102.87162,P,14950,2101,350,114,2944
2022-03-21 05:19:59Z.820,1647839999.820,0x780db8,CES5735,24.93155,102.87582,P,15075,2101,350,114,2944
2022-03-21 05:20:02Z.652,1647840002.652,0x780db8,CES5735,24.92931,102.88101,P,15200,2101,352,115,2816
2022-03-21 05:20:03Z.769,1647840003.769,0x780db8,CES5735,24.92903,102.88168,P,15225,2101,353,115,2752
2022-03-21 05:20:05Z.692,1647840005.692,0x780db8,CES5735,24.92958,102.8804,P,15300,2101,354,115,2688
2022-03-21 05:20:07Z.646,1647840007.646,0x780db8,CES5735,24.92587,102.88885,P,15425,2101,355,115,2880
2022-03-21 05:20:08Z.489,1647840008.489,0x780db8,CES5735,24.92587,102.88885,P,15425,2101,354,115,2752
2022-03-21 05:20:10Z.567,1647840010.567,0x780db8,CES5735,24.92413,102.89271,P,15550,2101,355,115,3008
2022-03-21 05:20:12Z.688,1647840012.688,0x780db8,CES5735,24.92212,102.89729,P,15675,2101,356,115,3200
